# telescope   = tel16
# season      = 2014-2017
# filter      = RG715
# aperture    = 6.000     pix
# deblend     = 0
# null_dc[1]  = 0.000813  mag
# null_dc[2]  = 0.000312  mag
# null_dc[3]  = 0.000501  mag
# null_dc[4]  = 0.000022  mag
# null_cm     = 0.365045  mag/mag
# null_fwhm_k = -0.000102 mag/pix
# null_fwhm_0 = 2.743500  pix
# null_chidof = 2.452
# null_nfit   = 2303
# null_nparm  = 6
#
#BJD           Mag         e_Mag       tExp    DMag    FWHM   Ellip Airmass X         Y         Angle   Sky      Peak  S  V  R F CM        Corr_Mag   
#------------- ----------- ----------- ------- ------- ------ ----- ------- --------- --------- ------- -------- ----- -- -- - - --------- -----------
2457834.775518    0.005569    0.002470  15.034 -0.0085  2.260 0.086 1.10948   746.091  1684.553    0.00    25.01 14576  2  3 0 0  0.001126    0.004796
2457834.799746    0.004968    0.002709  15.034 -0.0075  2.340 0.056 1.17193   745.230  1684.545    0.01    26.51 14182  2  3 0 0  0.002323    0.003767
2457834.800189   -0.001716    0.002519  15.034 -0.0000  2.309 0.041 1.17338   745.377  1682.824    0.00    26.54 14167  2  3 0 0  0.002323   -0.002920
2457834.800631    0.001219    0.002553  15.034 -0.0044  2.999 0.166 1.17482   746.284  1688.006    0.00    26.63  9163  2  3 0 0  0.002323    0.000085
2457834.801079    0.004158    0.002516  15.034 -0.0004  2.418 0.040 1.17630   746.945  1689.450    0.00    26.60 12767  2  3 0 0  0.002323    0.002965
2457834.830972    0.002808    0.002668  15.034  0.0002  2.452 0.078 1.30636   746.162  1683.697    0.01    30.90 12436  2  3 0 0  0.001015    0.002096
2457834.831411    0.006949    0.002807  15.034  0.0035  2.412 0.092 1.30880   746.479  1681.916    0.01    30.87 11766  2  3 0 0  0.001109    0.006199
2457834.831852    0.003018    0.002761  15.034 -0.0055  2.942 0.105 1.31127   746.884  1688.378    0.01    30.86  8080  2  3 0 0  0.001205    0.002287
2457834.832296   -0.001240    0.002716  15.034 -0.0033  2.613 0.034 1.31378   747.412  1688.904    0.01    30.86 10889  2  3 0 0  0.001301   -0.002040
2457834.855086    0.002313    0.003199  15.034  0.0003  2.278 0.047 1.47118   747.048  1680.531    0.01    32.82 13376  2  3 0 0  0.004497    0.000312
2457834.855529    0.002212    0.003016  15.034  0.0000  2.262 0.042 1.47489   746.722  1680.825    0.02    33.11 14750  2  3 0 0  0.004505    0.000206
2457834.855975    0.013085    0.002915  15.034  0.0035  2.670 0.082 1.47864   747.130  1686.740    0.02    33.33 11581  2  3 0 0  0.004513    0.011119
2457834.856416    0.003023    0.002898  15.034  0.0057  2.351 0.047 1.48239   747.334  1692.022    0.02    33.38 13977  2  3 0 0  0.004520    0.001021
2457834.871821    0.004519    0.003259  15.034  0.0023  2.458 0.072 1.63356   746.790  1689.271    0.02    37.24 12584  2  3 0 0  0.004398    0.002572
